timestamp,mint,ticker,peakPct,peakAtSec,exitPct,holdSec,exitReason
2026-03-15T23:04:12.455Z,E17cAqcyWdgb9z4U,ClawCrew,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:04:21.869Z,8FctqRvfZaZuL9HW,LUPINI,0.0,6.4,-5.3,7,T5BAIL -1.3% @7s (peak 0.0%)
2026-03-15T23:04:34.505Z,CCXgBS93C9QUg4Pw,gs,-1.2,0.3,-18.1,8,SL -14.7% [stale]
2026-03-15T23:04:38.513Z,9NhMRc9kTSNKPGyP,X,14.5,1.1,-47.5,21,BE -45.3% (peak 14.5%) [stale]
2026-03-15T23:04:42.016Z,7uxzU2KneRXMWZfT,Krusty,0.8,2.3,-11.8,4,T5BAIL -8.1% @4s (peak 0.8%)
2026-03-15T23:04:49.273Z,AdhBQa4Y9cTme1bH,JEFFERUS,-2.0,5.6,-5.9,6,T5BAIL -2.0% @6s (peak -2.0%)
2026-03-15T23:04:54.112Z,7eWk5GdK65W6PqS3,Agent,2.3,0.0,-24.4,5,T5BAIL -21.3% @5s (peak 2.3%)
2026-03-15T23:04:54.322Z,9US1foEtbuiYbhPm,CEO,-2.0,3.5,-6.5,5,T5BAIL -2.6% @5s (peak -2.0%)
2026-03-15T23:05:06.585Z,8Ds8WBdtVgkejn7K,AgentPunch,8.1,19.6,-4.6,22,STALE_FLAT
2026-03-15T23:05:08.591Z,FvvmsySnAX6wgy3q,AKINATOR,41.4,6.9,10.1,21,TRAIL -19% (peak 41.4%) [stale]
2026-03-15T23:05:08.592Z,6Lf4htMD8Zt6GCck,wdog,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:05:10.597Z,Ex1parKRkfAygzku,Token,16.8,6.0,-5.0,27,STALE_FLAT
2026-03-15T23:05:16.595Z,2ADMq9cuFYhWVQ8L,TITO,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T23:05:22.617Z,BqmD5rRtDs2tAmxf,SA,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:05:24.624Z,CDqr2wxqQAyhyT5j,$STEAK,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:05:34.653Z,6JLG1Yyt2e6AyHED,MEME,16.0,6.9,-6.9,21,STALE_FLAT
2026-03-15T23:05:36.654Z,5DpYVHbAt9B53ovN,DEGEN,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T23:05:38.656Z,7GhMfLr3sWACcx7D,BANANA,11.9,2.0,-45.4,19,BE -43.0% (peak 11.9%) [stale]
2026-03-15T23:05:40.658Z,FtyV5EJAwXpwmp7a,Memecoin,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T23:05:44.265Z,8jV8PnRgDKg7QNcS,Aether,-0.2,0.5,-10.3,4,T5BAIL -6.5% @4s (peak -0.2%)
2026-03-15T23:05:44.667Z,2UY21fMP24r2PjvV,CHILLAGENT,-2.0,3.3,-5.9,14,STALE_FEED
2026-03-15T23:05:46.673Z,AGqKZq5ghzZSP8rF,AGENT,34.1,0.6,-17.6,8,TRAIL -36% (peak 34.1%) [stale]
2026-03-15T23:05:54.696Z,3iV5b4XnT2VQBrup,up the most,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:05:58.709Z,9rjWDNZUtb5TzQgJ,Yellowchip,15.5,1.6,-38.8,21,TRAIL -45% (peak 15.5%) [stale]
2026-03-15T23:05:58.714Z,hdWCkRANLZifzSwe,iFrame,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:06:00.717Z,B8o7XnpHnsYo84Rf,YELLOWCHIP,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T23:06:02.724Z,Hcu8wpsNftnjp2Zc,YellowChip,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T23:06:03.335Z,2UcjgDS1tqCbyRzG,BABYCLAW,5.0,2.0,-41.0,4,T5BAIL -38.4% @4s (peak 5.0%)
2026-03-15T23:06:12.745Z,GKh8k3xXHVfuq4Tx,BANANA,9.9,0.1,-23.7,9,BE -20.5% (peak 9.9%) [stale]
2026-03-15T23:06:14.749Z,26oUiTAdj2wpQoNh,Banana,-2.0,0.8,-12.3,7,SL -8.6% [stale]
