timestamp,devWallet,ticker,outcome,pnlSol,peakPct,launches,dead,alive,tier
2026-03-16T04:55:02.464Z,7ujrSwGQCLEMuqi7hgUGubTKM9fKPPbQn7mvqxM86Cpp,MYRO,alive,-0.0062,15.2,1,0,0,B
2026-03-16T04:56:24.096Z,DqeVuNmymZEqzNQmFUvMGAL6xaB49TN7yCmx3h3FpYaK,PONZI,dead,-0.0140,-2.0,7,0,0,B
2026-03-16T04:57:15.139Z,HoVd4Z2m8cGUfNFsAGhLpWwLaEmyiLhJKpWdnRwbWeB,TrollGuy,alive,0.0795,45.9,1,0,0,B
2026-03-16T04:58:42.045Z,2SssDAZBovyY7bnTYH2wFLDL2tpAvQBpAcEywUfbE8GN,Iruka,dead,-0.0139,1.0,3,0,0,B
2026-03-16T04:59:56.958Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,Tiger,alive,-0.0147,8.4,2,0,0,B
2026-03-16T05:00:59.466Z,HoVd4Z2m8cGUfNFsAGhLpWwLaEmyiLhJKpWdnRwbWeB,RAINBOW,alive,-0.0069,13.3,2,0,0,B
2026-03-16T05:01:45.680Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,KOL,dead,-0.0218,4.8,3,0,0,B
2026-03-16T05:02:04.822Z,B7ExUfQddARMy9EY6WU5VikETysroXd3yx7TqHfPtkVv,Pepe,alive,-0.0599,19.2,12,0,1,B
2026-03-16T05:04:21.673Z,HoVd4Z2m8cGUfNFsAGhLpWwLaEmyiLhJKpWdnRwbWeB,DBASE,alive,0.0506,30.6,3,0,0,B
2026-03-16T05:05:47.082Z,6jPKgTyzD6pfzQfYQJui3m45d2u4bohqp1bwYTbQVHUP,Larry,dead,-0.0145,-0.3,2,0,0,B
2026-03-16T05:06:28.851Z,3eVLqs1HBbq2LXSJqmtPXSaDqdK4sS873UPD2q1m5hoA,SINCLAIR,alive,0.0175,23.5,2,0,1,B
2026-03-16T05:06:34.750Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,武侠猫,dead,-0.0142,0.5,4,0,0,B
2026-03-16T05:07:51.958Z,B7ExUfQddARMy9EY6WU5VikETysroXd3yx7TqHfPtkVv,VOLCENGINE,alive,0.0545,34.0,14,0,1,B
2026-03-16T05:08:27.761Z,3eVLqs1HBbq2LXSJqmtPXSaDqdK4sS873UPD2q1m5hoA,SINCLAIR,alive,0.0883,56.1,2,0,1,B
2026-03-16T05:09:02.301Z,HoVd4Z2m8cGUfNFsAGhLpWwLaEmyiLhJKpWdnRwbWeB,DBASE,dead,-0.0146,-1.5,4,0,0,B
2026-03-16T05:11:47.853Z,4TGb4yXdopy1FYAYofSvDRxGoNDEzTzWcpyqgdtFpx7t,STNK,alive,0.0089,22.3,2,0,0,B
2026-03-16T05:12:34.301Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,Kari,alive,0.0067,18.6,6,0,0,B
2026-03-16T05:13:38.751Z,HiSo5kykqDPs3EG14Fk9QY4B5RvkuEs8oJTiqPX3EDAn,BLUB,dead,-0.0194,-0.7,18,0,0,B
2026-03-16T05:15:17.001Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,BLUB,alive,0.0156,24.9,8,0,0,B
2026-03-16T05:15:33.975Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,BLUB,dead,-0.0186,-1.8,8,0,0,B
2026-03-16T05:16:09.677Z,7RxmEj5gq1sT4dxntXdWW68WG1JHzS3y8te6ZVpVRkEy,6,dead,-0.0160,0.7,1,0,0,B
2026-03-16T05:19:55.152Z,B7ExUfQddARMy9EY6WU5VikETysroXd3yx7TqHfPtkVv,USOA,alive,-0.0687,9.8,18,0,1,B
2026-03-16T05:21:31.736Z,8TnqS2TZ3rfPnAJBtaE4f9Myu3S2G7WuhPGoz3mHLets,橘猫道长,alive,0.0613,40.0,5,0,0,B
2026-03-16T05:22:44.973Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,Apollo,alive,0.0506,30.8,9,0,0,B
2026-03-16T05:24:53.310Z,B7ExUfQddARMy9EY6WU5VikETysroXd3yx7TqHfPtkVv,DоgGPT,alive,0.0608,36.0,19,0,1,B
2026-03-16T05:25:21.674Z,HoVd4Z2m8cGUfNFsAGhLpWwLaEmyiLhJKpWdnRwbWeB,GEOFFREY,alive,0.0540,32.3,5,0,0,B
2026-03-16T05:26:06.778Z,ArkdCAPErAo6KdVDTFA32YKnqaD7jfXsESFoyxQzDgnu,BLUECOLLAR,alive,0.0062,19.0,16,0,0,B
2026-03-16T05:27:21.724Z,ABe1WgCsBN7gh3Zq5i5LpaB7pz3y6ZbK2FTwH6nwMpo9,COCK,dead,-0.0223,-0.8,9,0,0,B
2026-03-16T05:27:54.053Z,EQwiPimgNJvKNcYCkmoD54erbixMZxw9v5wBnd8bX1mk,Ketchup,alive,0.0532,31.9,1,0,0,B
2026-03-16T05:28:26.327Z,2fT4W8uFrTPnR8dgvjxnS5X2vyNmFK8sFJxFX44notPd,clawbands,alive,0.0840,50.0,1,0,0,B
2026-03-16T05:29:58.734Z,H8LRDG4S7vUavfnWSd1o4uNnswnH6w3dcr8U1zqNPoMX,狐狸,alive,-0.0394,6.1,1,0,0,B
2026-03-16T05:35:20.882Z,4Ks2baXyKjp38Rt7scPbAPeB47XRd1j8vDhcgSZ84KPt,Apollo,alive,-0.0106,11.4,1,0,0,B
2026-03-16T05:35:27.875Z,6GBRqVYwYArYconNSvjgcySiRvLScD7j3PX9RTkHNFTJ,GIGI,alive,-0.0071,11.9,1,0,0,B
2026-03-16T05:36:08.707Z,B7ExUfQddARMy9EY6WU5VikETysroXd3yx7TqHfPtkVv,BIBI,alive,0.0504,30.7,20,0,1,B
2026-03-16T05:39:09.089Z,4sjrxarsj297ZPufGLjiFQnTM6SkzMpCaJ1D2PtBKyQz,joe,dead,-0.0201,-2.0,38,0,0,B
2026-03-16T05:39:24.822Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,LART,alive,0.0568,35.0,13,0,0,B
2026-03-16T05:41:36.724Z,9GUWftGnQR3Uy6dDBqMTwDSqjseXaQALoRibvU6JsjSf,LOWINCOME,alive,-0.0075,5.3,1,0,0,B
2026-03-16T05:42:46.221Z,2fT4W8uFrTPnR8dgvjxnS5X2vyNmFK8sFJxFX44notPd,PHAGE,alive,0.0037,18.3,4,0,0,B
2026-03-16T05:43:24.007Z,4xHRe3YsTLGwvw5m83wSQGav4VYkDiyJMyQ7PqDfGmLr,MNST,dead,-0.0243,-0.6,1,0,0,B
2026-03-16T05:46:04.039Z,AV1ST2ZdeR9rFjbBg9TG2znXvcxbE6m7zQhs4tco6PAK,CIA,dead,-0.0199,-1.9,1,0,0,B
2026-03-16T05:46:49.030Z,8YcbyX92UHTU23HZv3ccP9o13qibErQkKaUjoxqxd7SJ,MNST,dead,-0.0449,-2.0,1,0,0,B
2026-03-16T05:49:09.167Z,HVabKF8DXszhBL8GYmzX6JRCgYuQFGX73o2P9FSUoNvc,6,alive,0.0520,31.3,13,1,5,A
2026-03-16T05:50:37.662Z,BcoUw7seKfanVr8UG3PstXQ2w6sTW2SLxP8uFXxZPAed,GLM,alive,-0.0021,16.7,3,1,0,B
2026-03-16T05:51:02.110Z,2kB6tWBVx8CgRDjvCSotRVNaMESvSSEgb739oGeQPgs9,TOLY,dead,-0.0254,2.9,1,0,0,B
2026-03-16T05:52:15.628Z,B7ExUfQddARMy9EY6WU5VikETysroXd3yx7TqHfPtkVv,CHEWING,alive,0.0494,30.1,23,0,1,B
2026-03-16T05:52:46.615Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,ROTATE,alive,-0.0095,9.1,16,0,0,B
2026-03-16T05:52:51.290Z,6z51o3BNbYLJTL7SeGeHJQNpoc7rcWt8f6mzUg533uYe,Goatse,alive,0.0139,21.2,15,0,0,B
2026-03-16T05:53:07.280Z,BcoUw7seKfanVr8UG3PstXQ2w6sTW2SLxP8uFXxZPAed,HERRMANN,dead,-0.0258,-1.8,4,1,0,B
2026-03-16T05:53:18.302Z,6z51o3BNbYLJTL7SeGeHJQNpoc7rcWt8f6mzUg533uYe,Goatse,dead,-0.0171,3.8,15,0,0,B
2026-03-16T05:58:17.936Z,9QxBnFQKiN6Ys81HYNvX6whHotwqpYrdmr1NdBcykhFV,TRAILCAM,alive,-0.0100,5.7,20,0,0,B
2026-03-16T05:58:42.764Z,GVCseToGxqhtdSFmRRH5HG1hz1Cm6haFCXWcpg45xA2n,LAST,dead,-0.0118,-2.0,1,0,0,B
2026-03-16T05:58:45.938Z,B7ExUfQddARMy9EY6WU5VikETysroXd3yx7TqHfPtkVv,BARRON,alive,0.0517,31.1,24,0,1,B
2026-03-16T06:00:07.814Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,Eric,alive,-0.0140,8.9,18,0,0,B
2026-03-16T06:01:26.233Z,5cRqpRE4V5EyWtav3fmcY123F9NHtnTyvXeamF4FkESb,Stonks,alive,-0.0151,9.6,1,0,0,B
2026-03-16T06:02:35.486Z,B7ExUfQddARMy9EY6WU5VikETysroXd3yx7TqHfPtkVv,Pepe,dead,-0.0083,-0.2,25,0,1,B
2026-03-16T06:03:41.696Z,5V1zcBr6GipBXvJwHwU2v4fydouFn4GC39vMGvucdwrA,AI,alive,0.0070,18.2,19,0,0,B
2026-03-16T06:04:16.380Z,5V1zcBr6GipBXvJwHwU2v4fydouFn4GC39vMGvucdwrA,AI,dead,-0.0155,-2.0,19,0,0,B
2026-03-16T06:04:25.669Z,6Avzm2Gzzbou8wXCxpJLCfK4A5UjrsfaKMWL9b4SW7HU,NIGGLON,dead,-0.0197,-0.7,19,0,0,B
2026-03-16T06:05:41.600Z,FwYjdxw2fwvbuQn9M79BpNsGF8QSmqGqh2w3CzSizHpA,SJ,alive,-0.0105,6.2,7,0,0,B
2026-03-16T06:08:00.470Z,GA1Bf1c2hUft9MiqCfVcBHhmC9PZzb1nRBPGP9KL9vtK,FENTHOUSE,dead,-0.0205,-0.5,1,0,0,B
